category,age,country,countryOfCitizenship,selfMade,gender,finalWorth
Healthcare,2,India,India,True,M,3
Technology,1,United States,United States,True,M,3
Fashion & Retail,2,India,India,True,M,3
Automotive,2,China,China,True,M,3
Diversified,3,Thailand,Thailand,False,M,3
Fashion & Retail,3,United States,United States,True,M,3
Food & Beverage,3,Thailand,Thailand,True,M,3
Food & Beverage,2,United Kingdom,Netherlands,False,F,3
Healthcare,2,China,Hong Kong,True,M,3
Automotive,2,China,China,True,M,3
Metals & Mining,2,Uzbekistan,Russia,True,M,3
Manufacturing,3,Singapore,Singapore,True,M,3
Diversified,1,India,India,False,M,3
Manufacturing,2,Nigeria,Nigeria,True,M,3
Real Estate,3,Hong Kong,Hong Kong,False,F,3
Diversified,2,United Kingdom,Israel,False,M,3
Healthcare,2,China,China,True,M,3
Gambling & Casinos,3,Hong Kong,Hong Kong,True,M,3
Logistics,3,United Kingdom,Cyprus,True,M,3
Construction & Engineering,3,United States,United States,True,F,3
Technology,1,United States,United States,True,M,3
Sports,3,United States,United States,True,M,3
Energy,3,United States,United States,False,M,3
Real Estate,2,Hong Kong,Hong Kong,True,M,3
Automotive,2,China,China,True,M,3
Real Estate,3,Australia,Australia,True,M,3
Finance & Investments,2,India,India,True,M,3
Sports,3,United States,United States,True,M,3
Energy,2,United Kingdom,Russia,True,M,3
Energy,2,Thailand,Thailand,True,M,3
Metals & Mining,1,China,China,True,M,3
Healthcare,2,China,China,True,M,3
Automotive,2,United States,United States,True,M,3
Technology,2,United States,United States,False,F,3
Diversified,3,Hong Kong,Malaysia,True,M,3
Real Estate,3,United States,United States,True,M,3
Technology,1,United Arab Emirates,United Arab Emirates,True,M,3
Healthcare,2,Germany,Germany,True,M,3
Healthcare,2,Germany,Germany,True,M,3
Food & Beverage,2,China,China,True,M,3
Fashion & Retail,1,United States,United States,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Manufacturing,2,Israel,Russia,True,M,3
Manufacturing,2,Australia,Australia,False,M,3
Finance & Investments,2,Switzerland,Russia,True,M,3
Fashion & Retail,3,Italy,Italy,True,M,3
Fashion & Retail,2,South Africa,South Africa,False,M,3
Finance & Investments,2,Hong Kong,Hong Kong,True,M,3
Technology,1,China,China,True,M,3
Finance & Investments,3,United States,United States,False,M,3
Fashion & Retail,3,United States,United States,True,F,3
Fashion & Retail,2,Mexico,Mexico,False,M,3
Media & Entertainment,3,United States,United States,False,M,3
Sports,3,United States,United States,True,M,3
Food & Beverage,2,Brazil,Brazil,True,M,3
Finance & Investments,2,Russia,Russia,True,M,3
Fashion & Retail,1,China,China,True,M,3
Finance & Investments,1,United Arab Emirates,Canada,True,M,3
Finance & Investments,2,United States,United States,True,M,3
Technology,1,Australia,Australia,True,M,3
Healthcare,2,United States,United States,False,M,3
Technology,3,United States,United States,True,M,3
Energy,2,United States,United States,True,M,3
Manufacturing,2,Russia,Russia,True,M,3
Technology,1,Singapore,Brazil,True,M,3
Automotive,2,Germany,Germany,False,M,3
Fashion & Retail,2,United States,United States,False,F,3
Technology,1,Australia,Australia,True,M,3
Diversified,3,Malaysia,Malaysia,False,M,3
Real Estate,2,China,China,True,F,3
Energy,3,United States,United States,True,M,3
Service,2,China,China,True,M,3
Diversified,2,United Arab Emirates,Cyprus,True,M,3
Fashion & Retail,3,Switzerland,France,False,M,3
Logistics,1,France,France,False,M,3
Logistics,1,France,France,False,M,3
Logistics,1,France,France,False,F,3
Finance & Investments,3,Sweden,Sweden,True,M,3
Manufacturing,2,Russia,Russia,True,M,3
Finance & Investments,2,South Korea,United States,True,M,3
Technology,1,China,China,True,M,3
Manufacturing,3,Germany,Germany,False,M,3
Healthcare,2,China,China,True,M,3
Technology,2,United States,United States,False,M,3
Energy,2,China,China,True,M,3
Manufacturing,2,China,China,True,M,3
Food & Beverage,2,United States,United States,False,F,3
Food & Beverage,2,United States,United States,False,F,3
Food & Beverage,2,United States,United States,False,F,3
Food & Beverage,2,United States,United States,False,F,3
Finance & Investments,2,France,France,False,M,3
Diversified,3,Canada,Canada,True,M,3
Healthcare,2,Switzerland,Switzerland,False,M,3
Technology,1,China,China,True,M,3
Technology,1,United States,United States,True,M,3
Manufacturing,3,United Kingdom,United Kingdom,True,M,3
Diversified,2,Russia,Russia,True,M,3
Diversified,3,Sweden,Sweden,False,F,3
Energy,1,Czech Republic,Czech Republic,True,M,3
Media & Entertainment,3,United States,United States,True,M,3
Technology,3,India,India,False,M,3
Finance & Investments,3,United States,United States,True,M,3
Fashion & Retail,2,United States,United States,True,M,3
Technology,2,United States,Canada,True,M,3
Metals & Mining,2,Switzerland,Switzerland,True,M,3
Real Estate,1,Germany,Germany,False,M,3
Food & Beverage,2,Canada,Canada,True,M,3
Manufacturing,2,China,China,True,M,3
Food & Beverage,2,United Kingdom,Sweden,False,M,3
Food & Beverage,2,United Kingdom,Sweden,False,M,3
Food & Beverage,2,United Kingdom,Sweden,False,F,3
Fashion & Retail,1,Russia,Russia,True,F,3
Technology,2,United States,United States,True,M,3
Technology,1,China,China,True,M,3
Technology,1,United States,United States,True,M,3
Technology,1,United States,United States,True,M,3
Energy,2,China,China,True,M,3
Energy,2,United Kingdom,France,False,F,3
Manufacturing,1,China,China,True,M,3
Fashion & Retail,3,Germany,Germany,False,M,3
Finance & Investments,2,United States,United States,True,M,3
Finance & Investments,2,New Zealand,New Zealand,True,M,3
Food & Beverage,2,India,India,False,M,3
Technology,3,Germany,Germany,True,M,3
Food & Beverage,3,Switzerland,Brazil,True,M,3
Real Estate,2,Philippines,Philippines,True,M,3
Technology,2,United States,Germany,True,M,3
Finance & Investments,1,United States,United States,True,M,3
Fashion & Retail,2,United States,United States,False,F,3
Manufacturing,1,China,China,True,M,3
Media & Entertainment,3,United States,United States,False,M,3
Metals & Mining,3,South Africa,South Africa,False,M,3
Media & Entertainment,2,Australia,United States,False,F,3
Metals & Mining,3,China,China,False,F,3
Fashion & Retail,3,United States,United States,True,M,3
Fashion & Retail,3,Monaco,Monaco,False,M,3
Finance & Investments,1,Switzerland,Germany,False,F,3
Real Estate,3,Hong Kong,Hong Kong,True,M,3
Energy,2,Russia,Russia,True,M,3
Diversified,2,Nigeria,Nigeria,False,M,3
Finance & Investments,3,United States,United States,True,M,3
Real Estate,3,India,India,False,M,3
Real Estate,2,China,China,True,M,3
Real Estate,1,China,China,False,F,3
Diversified,2,France,France,False,M,3
Diversified,2,France,France,False,M,3
Food & Beverage,2,United States,United States,True,M,3
Diversified,2,France,France,False,F,3
Gambling & Casinos,1,Switzerland,Czech Republic,True,M,3
Technology,1,United States,United States,True,M,2
Energy,2,Russia,Russia,True,M,2
Fashion & Retail,3,United States,United States,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Metals & Mining,2,Czech Republic,Czech Republic,True,M,2
Finance & Investments,3,Monaco,Belgium,False,M,2
Finance & Investments,1,United States,United States,True,M,2
Fashion & Retail,1,China,China,True,M,2
Fashion & Retail,2,United States,United States,False,F,2
Technology,1,South Korea,South Korea,False,M,2
Finance & Investments,1,United States,United States,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Metals & Mining,2,Russia,Russia,True,M,2
Diversified,1,Austria,Austria,True,M,2
Telecom,2,United States,United States,True,M,2
Manufacturing,2,China,China,True,M,2
Manufacturing,3,Taiwan,Taiwan,True,M,2
Technology,1,China,China,True,M,2
Manufacturing,2,China,China,True,M,2
Fashion & Retail,3,Taiwan,Taiwan,True,M,2
Food & Beverage,1,France,France,False,M,2
Food & Beverage,1,France,France,False,F,2
Media & Entertainment,3,United States,United States,True,M,2
Technology,1,China,China,True,M,2
Service,2,China,China,True,M,2
Technology,2,United States,United States,True,M,2
Healthcare,2,United States,United States,True,M,2
Real Estate,2,Norway,Norway,True,M,2
Energy,1,China,China,True,M,2
Healthcare,3,India,India,True,M,2
Manufacturing,2,United Kingdom,United Kingdom,True,M,2
Technology,1,United States,United States,True,M,2
Real Estate,2,Singapore,Singapore,False,M,2
Manufacturing,2,United Kingdom,United Kingdom,True,M,2
Real Estate,3,United States,United States,False,M,2
Technology,2,Hong Kong,Canada,True,M,2
Healthcare,2,China,China,True,F,2
Sports,3,United States,United States,True,M,2
Fashion & Retail,3,United States,United States,False,M,2
Fashion & Retail,2,China,China,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Food & Beverage,1,Singapore,Singapore,True,M,2
Technology,3,United States,United States,True,M,2
Manufacturing,2,United Kingdom,Indonesia,False,M,2
Fashion & Retail,2,China,China,True,M,2
Real Estate,2,Singapore,Singapore,False,M,2
Manufacturing,2,United States,United States,True,M,2
Construction & Engineering,2,Egypt,Egypt,False,M,2
Food & Beverage,3,United States,United States,True,M,2
Manufacturing,3,India,India,False,M,2
Metals & Mining,2,Russia,Russia,True,M,2
Fashion & Retail,1,Denmark,Denmark,False,M,2
Logistics,2,Philippines,Philippines,False,M,2
Technology,1,China,Hong Kong,True,F,2
Finance & Investments,2,United States,United States,True,M,2
Technology,2,Taiwan,Taiwan,True,M,2
Real Estate,2,United States,United States,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Energy,3,United States,United States,True,M,2
Finance & Investments,1,United Arab Emirates,Switzerland,True,M,2
Fashion & Retail,2,Japan,Japan,False,M,2
Food & Beverage,3,China,China,True,M,2
Technology,3,United States,United States,True,F,2
Gambling & Casinos,3,Austria,Austria,True,M,2
Service,2,United States,United States,False,F,2
Manufacturing,2,China,China,True,M,2
Healthcare,2,Switzerland,Sweden,False,M,2
Finance & Investments,3,Singapore,Singapore,False,M,2
Manufacturing,2,China,China,True,M,2
Technology,2,United States,United States,True,M,2
Media & Entertainment,1,United Kingdom,Israel,True,M,2
Media & Entertainment,1,United Kingdom,Israel,True,M,2
Technology,3,United States,United States,True,M,2
Manufacturing,3,India,India,False,M,2
Fashion & Retail,3,United States,United States,True,M,2
Real Estate,2,Hong Kong,Hong Kong,False,M,2
Diversified,1,India,India,False,F,2
Diversified,2,India,Ireland,False,M,2
Food & Beverage,2,United States,United States,True,M,2
Food & Beverage,2,United States,United States,True,M,2
Food & Beverage,2,United States,United States,True,M,2
Diversified,2,Mexico,Mexico,False,M,2
Diversified,3,United States,United States,False,F,2
Food & Beverage,3,United States,United States,False,F,2
Finance & Investments,1,United States,United States,True,M,2
Technology,2,China,China,True,M,2
Real Estate,3,United States,United States,True,M,2
Fashion & Retail,1,Spain,Spain,False,F,2
Healthcare,2,United States,United States,False,F,2
Energy,2,United States,United States,False,F,2
Diversified,3,Italy,Italy,True,M,2
Gambling & Casinos,1,United Kingdom,United Kingdom,True,F,2
Energy,1,United States,United States,False,M,2
Energy,1,United States,United States,False,F,2
Finance & Investments,2,United States,United States,False,M,2
Finance & Investments,2,United States,Israel,True,M,2
Technology,3,United States,United States,True,M,2
Finance & Investments,1,United States,United States,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Diversified,2,Russia,Russia,True,M,2
Technology,2,China,Hong Kong,True,M,2
Energy,2,United States,United States,False,F,2
Finance & Investments,2,United States,United States,True,M,2
Finance & Investments,2,United Kingdom,United Kingdom,True,M,2
Manufacturing,3,Denmark,Denmark,False,M,2
Manufacturing,1,Denmark,Denmark,False,F,2
Manufacturing,1,Denmark,Denmark,False,M,2
Healthcare,3,Italy,Italy,False,F,2
Automotive,1,China,Hong Kong,True,M,2
Manufacturing,2,China,China,True,M,2
Manufacturing,1,Switzerland,Switzerland,False,F,2
Telecom,1,France,France,True,M,2
Energy,2,United States,United States,True,M,2
Real Estate,3,United States,United States,False,M,2
Real Estate,3,United States,United States,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Technology,2,United States,United States,True,M,2
Manufacturing,1,Denmark,Denmark,False,F,2
Technology,3,United States,United States,True,M,2
Food & Beverage,2,China,China,True,M,2
Manufacturing,1,Switzerland,Switzerland,False,F,2
Food & Beverage,2,United States,United States,False,M,2
Food & Beverage,2,United States,United States,False,M,2
Food & Beverage,2,United States,United States,False,F,2
Finance & Investments,3,United States,United States,True,M,2
Technology,2,United States,United States,True,M,2
Finance & Investments,1,Germany,Germany,False,F,2
Finance & Investments,3,United States,United States,True,M,2
Technology,2,United States,United States,False,F,2
Fashion & Retail,3,Eswatini (Swaziland),Eswatini (Swaziland),True,M,2
Real Estate,3,United States,United States,False,F,2
Real Estate,3,United Kingdom,United Kingdom,True,M,2
Diversified,3,Monaco,United Kingdom,True,M,2
Real Estate,1,Switzerland,Czech Republic,True,M,2
Finance & Investments,2,Sweden,Sweden,True,M,2
Sports,2,United States,United States,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Healthcare,2,China,China,True,F,2
Energy,2,France,Russia,True,M,2
Manufacturing,2,Monaco,Russia,True,M,2
Finance & Investments,3,Colombia,Colombia,True,M,2
Logistics,3,United States,United States,True,M,2
Construction & Engineering,3,United Kingdom,United Kingdom,False,M,2
Energy,2,China,China,True,M,2
Finance & Investments,2,United Kingdom,Ireland,True,M,2
Healthcare,3,France,France,False,M,2
Energy,2,China,China,True,M,2
Manufacturing,3,Israel,Israel,True,M,2
Food & Beverage,2,Mexico,Mexico,False,F,2
Diversified,3,Sweden,Sweden,True,M,2
Service,3,Netherlands,Netherlands,True,M,2
Food & Beverage,2,China,China,True,M,2
Manufacturing,2,China,Hong Kong,True,M,2
Manufacturing,1,China,Hong Kong,True,M,2
Finance & Investments,2,Poland,Poland,True,M,2
Diversified,2,Nigeria,Nigeria,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Fashion & Retail,3,Germany,Germany,False,M,2
Fashion & Retail,2,Germany,Germany,False,M,2
Energy,3,Hong Kong,Hong Kong,False,M,2
Telecom,2,,India,True,M,2
Technology,1,Hong Kong,Hong Kong,True,F,2
Metals & Mining,2,Russia,Russia,True,M,2
Real Estate,1,Austria,Austria,True,M,2
Real Estate,3,United States,United States,True,M,2
Fashion & Retail,2,Canada,Canada,True,M,2
Technology,2,United States,United States,True,M,2
Fashion & Retail,2,India,India,True,M,2
Diversified,3,Thailand,Thailand,False,M,2
Finance & Investments,3,Bahamas,United Kingdom,True,M,2
Finance & Investments,3,Israel,Australia,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Technology,2,United States,United States,True,M,2
Fashion & Retail,3,United States,United States,True,M,2
Real Estate,2,China,China,True,M,2
Diversified,3,Thailand,Thailand,False,M,2
Finance & Investments,2,United States,Norway,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Food & Beverage,2,China,Taiwan,False,M,2
Finance & Investments,2,United States,United States,True,M,2
Healthcare,3,Denmark,Denmark,False,M,2
Healthcare,2,United States,United States,True,M,2
Metals & Mining,2,Ukraine,Ukraine,True,M,2
Healthcare,3,United States,United States,True,M,2
Media & Entertainment,3,Cayman Islands,United Kingdom,True,M,2
Energy,3,Canada,Canada,False,M,2
Real Estate,2,Sweden,Sweden,False,M,2
Construction & Engineering,3,Switzerland,Switzerland,False,M,2
Logistics,3,Hong Kong,Austria,False,M,2
Finance & Investments,1,United States,United States,False,M,2
Finance & Investments,2,United States,United States,False,M,2
Finance & Investments,2,United States,United States,False,M,2
Logistics,1,Greece,Greece,False,F,2
Energy,3,United States,United States,False,M,2
Logistics,1,China,China,True,M,2
Automotive,3,India,India,False,M,2
Finance & Investments,3,United States,United States,True,M,2
Healthcare,2,China,United States,True,M,2
Finance & Investments,2,United States,United States,False,F,2
Service,2,United States,United States,False,M,2
Gambling & Casinos,1,Israel,Israel,True,M,2
Healthcare,2,South Korea,South Korea,True,M,2
Automotive,2,China,Hong Kong,True,M,2
Service,2,United States,United States,False,M,2
Media & Entertainment,2,United States,United States,False,M,2
Technology,2,Taiwan,Taiwan,True,M,2
Technology,1,United States,Ireland,True,M,2
Technology,1,United States,Ireland,True,M,2
Manufacturing,3,United States,United States,True,M,2
Automotive,3,Italy,Italy,False,M,2
Automotive,2,United States,United States,False,M,2
Diversified,3,Canada,Canada,False,M,2
Manufacturing,2,China,China,True,M,2
Healthcare,3,Germany,Germany,True,M,2
Finance & Investments,2,Germany,Germany,False,M,2
Manufacturing,2,United States,United States,True,M,2
Media & Entertainment,3,United States,United States,False,F,2
Finance & Investments,2,Hong Kong,Chile,True,M,2
Finance & Investments,3,United States,United States,True,M,2
Healthcare,3,Italy,Italy,True,M,2
Media & Entertainment,3,United States,United States,False,F,2
Technology,2,Australia,Australia,True,M,2
Diversified,2,China,China,True,F,2
Fashion & Retail,3,Italy,Italy,True,M,2
Manufacturing,3,India,India,False,M,2
Finance & Investments,1,United States,United States,False,M,2
Technology,2,Singapore,United States,True,M,2
Diversified,2,China,China,True,M,2
Manufacturing,3,Switzerland,Switzerland,True,M,2
Fashion & Retail,2,Italy,Italy,False,F,2
Fashion & Retail,2,Germany,Germany,False,M,2
Fashion & Retail,2,Germany,Germany,False,M,2
Fashion & Retail,2,Austria,Germany,False,M,2
Fashion & Retail,2,Austria,Germany,False,F,2
Finance & Investments,1,United States,United States,True,M,2
Real Estate,2,United States,United States,True,M,2
Manufacturing,2,Turkey,Turkey,True,M,2
Finance & Investments,2,United States,United States,False,F,2
Finance & Investments,2,United States,United States,True,M,2
Diversified,3,Indonesia,Indonesia,False,M,2
Finance & Investments,2,United States,United States,False,M,2
Food & Beverage,3,United States,United States,True,F,2
Food & Beverage,3,United States,United States,True,M,2
Service,3,United States,United States,False,M,2
Finance & Investments,2,United States,United States,True,M,2
Manufacturing,3,United States,United States,True,M,2
Food & Beverage,3,Germany,Germany,True,M,2
Fashion & Retail,2,United Arab Emirates,India,True,M,2
Finance & Investments,2,United States,Brazil,True,M,2
Food & Beverage,1,China,China,True,F,2
Real Estate,2,United States,United States,True,M,2
Fashion & Retail,2,China,China,True,M,2
Fashion & Retail,2,United Arab Emirates,India,False,M,2
Telecom,3,Malaysia,Malaysia,True,M,2
Technology,2,Taiwan,Taiwan,True,M,2
Food & Beverage,3,United States,United States,False,M,2
Gambling & Casinos,1,United Kingdom,Canada,True,M,2
Technology,2,United States,United States,True,M,2
Real Estate,3,United States,United States,True,M,2
Real Estate,3,United States,United States,True,M,2
Manufacturing,1,China,China,True,M,2
Finance & Investments,2,India,India,False,F,2
Finance & Investments,3,United States,United States,False,M,2
Media & Entertainment,1,South Korea,South Korea,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Logistics,2,Norway,Norway,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Healthcare,2,Hong Kong,China,True,M,2
Technology,3,United States,United States,True,M,2
Healthcare,3,United States,Switzerland,True,M,2
Sports,2,United States,United States,False,F,2
Finance & Investments,3,United States,United States,True,M,2
Energy,3,United States,United States,False,M,2
Healthcare,1,Switzerland,Switzerland,False,F,2
Finance & Investments,1,United Kingdom,United Kingdom,True,M,2
Technology,2,Switzerland,Switzerland,False,M,2
Telecom,2,United States,United States,True,M,2
Healthcare,1,Russia,Russia,True,M,2
Technology,2,South Korea,South Korea,True,M,2
Fashion & Retail,1,United States,United States,False,F,2
Fashion & Retail,3,France,France,False,M,2
Media & Entertainment,3,United States,United States,True,M,2
Sports,3,United States,United States,False,F,2
Healthcare,2,Germany,Germany,True,M,2
Real Estate,2,Germany,Germany,False,F,2
Healthcare,2,Switzerland,Switzerland,False,M,2
Food & Beverage,2,Turkey,Turkey,False,M,2
Fashion & Retail,2,Canada,Canada,True,M,2
Real Estate,1,China,China,False,F,2
Manufacturing,3,United States,United States,True,M,2
Healthcare,2,India,India,True,M,2
Technology,3,United States,United States,False,F,2
Technology,1,Argentina,Argentina,True,M,2
Service,3,United States,United States,True,M,2
Finance & Investments,1,United States,United States,True,M,2
Finance & Investments,2,Georgia,Georgia,True,M,2
Metals & Mining,3,Indonesia,Indonesia,True,M,2
Healthcare,3,Switzerland,Switzerland,True,M,2
Food & Beverage,3,Canada,Canada,False,M,2
Automotive,2,United States,United States,False,M,2
Sports,2,United States,United States,True,M,2
Diversified,2,Indonesia,Indonesia,True,M,2
Energy,2,United States,United States,True,M,2
Fashion & Retail,1,China,China,True,M,2
Fashion & Retail,2,United Kingdom,United Kingdom,True,M,2
Fashion & Retail,1,Poland,Poland,True,M,2
Healthcare,3,Germany,Germany,True,M,2
Fashion & Retail,2,United States,United States,False,M,2
Manufacturing,2,United States,United States,False,M,2
Manufacturing,2,United States,United States,False,M,2
Manufacturing,2,United States,United States,False,F,2
Technology,2,United States,United States,True,M,2
Technology,2,United States,United States,True,F,2
Manufacturing,2,United States,United States,False,F,2
Healthcare,2,India,India,False,M,2
Manufacturing,3,Hong Kong,Germany,True,M,2
Finance & Investments,2,China,China,True,M,2
Diversified,3,Portugal,Portugal,False,F,2
Sports,3,United States,United States,False,F,2
Technology,3,Taiwan,Singapore,True,M,2
Manufacturing,2,Turkey,Turkey,True,M,2
Finance & Investments,1,Brazil,Brazil,True,M,2
Real Estate,2,Canada,Canada,False,M,2
Technology,3,South Korea,South Korea,False,F,2
Manufacturing,1,China,China,True,M,2
Media & Entertainment,2,United States,United States,True,M,2
Diversified,3,China,China,True,M,2
Media & Entertainment,1,United States,United States,True,M,2
Food & Beverage,2,United States,United States,True,M,2
Media & Entertainment,2,United States,United States,True,M,2
Media & Entertainment,3,United States,United States,True,M,2
Technology,1,United States,United States,True,M,2
Energy,2,China,China,True,F,2
Metals & Mining,2,Kazakhstan,Kazakhstan,True,M,2
Finance & Investments,1,Taiwan,Taiwan,False,M,2
Fashion & Retail,3,United States,United States,False,M,2
Manufacturing,1,China,China,True,M,2
Media & Entertainment,1,Singapore,Singapore,True,M,2
Telecom,2,Hong Kong,Hong Kong,False,M,2
Fashion & Retail,2,United States,United States,False,M,2
Fashion & Retail,2,United States,United States,False,M,2
Fashion & Retail,2,United States,United States,False,M,2
Food & Beverage,3,Algeria,Algeria,True,M,2
Logistics,3,United States,United States,True,M,2
Finance & Investments,2,United States,United States,True,M,2
Manufacturing,1,Germany,Germany,False,M,2
Food & Beverage,1,United States,United States,True,M,2
Healthcare,2,China,China,True,M,2
Food & Beverage,1,Mexico,Mexico,False,M,2
Technology,3,Germany,Germany,True,M,2
Technology,2,China,China,True,M,2
Technology,1,United States,United States,True,M,2
Food & Beverage,3,Switzerland,Germany,False,M,2
Technology,3,India,India,True,M,2
Fashion & Retail,2,Norway,Norway,False,M,2
Finance & Investments,2,United States,United States,True,M,2
Real Estate,2,United Arab Emirates,United Arab Emirates,True,M,2
Finance & Investments,1,Brazil,Colombia,True,M,2
Manufacturing,2,China,China,True,M,2
Diversified,2,Taiwan,Taiwan,False,M,2
Manufacturing,2,China,China,True,M,2
Healthcare,1,United States,France,True,M,2
Technology,3,United States,United States,False,F,2
Manufacturing,3,United States,United States,True,M,2
Service,2,United States,United States,True,M,2
Construction & Engineering,2,Spain,Spain,False,M,2
Healthcare,3,Switzerland,Switzerland,True,M,2
Fashion & Retail,2,Germany,Germany,False,M,2
Real Estate,2,India,India,True,M,2
