wage;exper;union;goodhlth;black;female;married;service;education;looks
8;20;0;1;0;1;0;1;18;2
8;20;1;1;0;1;0;1;18;3
4;10;0;1;0;1;1;1;12;4
8;20;1;0;1;1;1;1;18;3
12;20;1;1;0;1;1;1;18;3
4;10;1;1;0;1;1;1;18;3
8;30;1;1;0;1;0;1;15;3
12;40;1;0;0;1;0;1;18;3
8;30;1;1;0;1;1;1;15;4
8;10;1;0;0;1;0;1;15;4
4;10;1;1;0;1;1;1;18;3
4;10;0;0;0;1;1;1;15;3
4;20;0;1;0;1;1;1;15;3
4;10;1;1;0;1;1;1;18;4
8;10;1;1;0;1;0;1;18;3
4;10;0;1;0;1;1;1;15;4
8;20;1;1;0;0;1;1;18;3
4;0;0;1;0;1;0;1;12;3
4;20;1;1;0;1;1;1;18;4
8;10;0;1;0;1;0;1;18;3
4;10;0;1;0;1;1;1;15;3
8;10;1;1;0;1;1;1;15;3
4;10;0;1;1;1;1;0;12;3
4;10;1;1;0;0;1;1;18;3
8;30;1;1;0;0;1;1;18;3
8;10;1;1;0;0;1;1;18;4
4;10;1;1;0;0;1;1;18;3
4;10;0;1;0;1;0;1;18;2
4;10;1;1;0;0;0;1;18;4
4;30;0;1;1;0;0;1;15;3
16;20;1;1;0;0;1;1;18;2
4;10;1;1;0;1;0;1;18;3
8;10;0;1;0;0;1;1;18;4
4;0;1;1;0;0;1;1;12;3
8;40;1;1;0;0;1;1;18;4
8;30;0;1;0;1;1;1;15;3
12;20;1;1;1;0;0;1;15;3
8;20;1;1;0;0;1;1;18;3
8;20;0;0;0;0;1;1;18;3
12;30;0;1;0;1;0;1;18;3
4;10;1;1;0;0;1;1;15;3
0;20;0;1;0;1;0;1;18;3
12;20;1;1;0;0;1;1;18;4
4;30;1;1;0;0;1;0;12;3
4;10;0;0;0;0;1;0;15;3
4;20;0;1;0;0;1;0;12;2
4;0;0;1;0;0;1;0;12;3
0;20;0;1;0;0;1;1;12;4
4;30;0;1;0;0;1;1;12;4
8;20;0;1;0;0;1;0;12;3
8;30;0;1;0;0;1;0;12;2
4;20;0;1;0;0;1;0;9;3
8;20;0;1;0;0;1;1;12;3
4;10;0;0;0;0;1;0;15;3
12;40;0;1;0;0;1;0;12;4
4;40;0;1;0;0;0;0;12;1
4;40;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;1;18;3
8;20;1;1;0;0;1;0;12;4
12;40;1;1;0;0;1;0;12;3
8;30;0;1;0;0;1;0;12;3
4;0;1;1;0;1;0;1;12;4
4;40;0;1;0;0;1;1;12;3
12;30;1;1;0;0;1;0;9;3
8;30;0;1;0;0;1;0;12;3
8;40;1;0;0;0;1;0;12;3
4;10;0;1;1;1;0;1;12;4
4;10;1;1;0;1;0;0;12;3
4;40;0;1;0;0;1;1;12;2
8;30;1;1;0;0;1;1;18;4
4;10;0;1;0;0;1;1;18;3
8;10;0;1;0;0;1;0;12;2
8;20;0;1;0;0;0;0;15;2
4;0;0;1;0;0;1;0;18;3
4;40;0;1;0;0;1;1;15;3
4;30;1;1;0;0;1;1;12;3
8;20;0;1;0;0;1;1;18;4
8;10;0;1;0;1;0;1;18;4
8;20;0;1;0;0;1;0;18;4
8;10;0;1;0;0;1;1;18;4
4;10;0;1;0;1;0;0;12;3
8;10;0;0;0;1;1;0;12;3
4;0;0;1;0;0;0;0;15;4
16;10;0;1;0;0;0;0;18;3
4;20;0;1;0;1;1;0;12;4
8;40;0;1;0;1;0;0;12;4
8;20;0;1;0;0;1;0;15;4
8;20;0;1;0;0;1;0;15;3
16;10;0;1;0;0;0;0;18;4
4;10;0;1;0;1;1;0;12;4
12;20;0;1;0;0;0;0;12;3
12;20;0;1;0;0;1;0;15;3
12;10;0;1;0;0;1;0;18;4
4;10;0;1;0;1;1;0;12;3
4;20;0;1;0;1;1;0;12;3
8;30;0;1;0;0;1;0;15;4
8;10;0;1;0;0;0;0;15;4
8;40;0;1;0;0;1;1;12;3
4;20;0;1;0;1;1;1;12;3
4;30;0;1;0;1;1;1;12;3
4;10;0;1;0;1;1;1;15;4
8;30;0;1;0;0;1;0;15;3
4;10;1;1;0;0;1;0;12;3
12;40;0;1;0;0;1;0;12;1
8;30;1;0;0;0;1;0;15;3
8;10;0;1;0;0;0;0;15;2
4;30;0;1;0;1;1;1;12;4
8;20;0;1;0;1;1;0;12;4
4;10;0;1;0;0;0;0;18;3
8;10;1;1;0;0;1;0;12;3
16;30;0;0;0;0;1;0;18;4
8;40;0;1;0;1;0;0;15;3
12;40;0;1;0;0;1;0;18;3
16;30;0;1;0;0;1;0;15;4
12;30;1;1;0;0;1;1;12;3
8;20;1;1;0;0;1;1;12;3
12;40;1;1;0;0;1;0;12;3
4;40;0;1;1;0;1;1;12;3
8;20;0;1;0;0;1;0;15;3
8;40;1;0;0;0;1;0;12;3
4;20;0;1;0;1;1;1;12;4
8;40;1;0;0;0;1;0;9;3
4;20;0;1;0;0;1;0;12;3
12;10;0;1;0;0;0;0;15;4
40;20;0;0;0;0;1;0;12;4
4;10;0;1;0;1;1;0;12;4
0;0;1;1;0;0;1;0;9;3
4;0;0;1;0;0;0;0;15;3
4;20;1;1;0;0;1;1;15;3
4;0;0;1;0;0;0;0;12;3
8;30;1;1;0;1;0;1;18;2
4;10;0;1;0;1;0;0;15;3
4;10;0;0;0;0;0;0;12;3
16;20;0;1;0;0;1;0;15;3
8;20;1;1;0;0;1;0;6;3
8;10;0;1;0;0;1;0;12;3
8;10;0;1;0;0;1;0;15;4
8;30;0;1;0;0;1;0;12;3
8;40;0;1;0;0;1;0;15;4
8;20;0;1;0;0;1;0;12;4
8;10;0;1;0;0;1;1;18;4
8;10;0;1;0;0;1;1;18;3
4;30;0;1;0;0;1;1;12;3
16;20;1;1;0;0;1;0;12;3
8;20;0;1;0;0;1;1;18;3
32;30;0;0;0;0;1;0;12;3
12;40;0;1;0;0;1;1;12;4
4;30;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;0;12;3
4;10;0;1;0;1;0;0;18;3
12;40;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;12;2
8;40;0;1;0;0;1;1;12;3
4;10;0;1;0;1;1;0;15;3
28;20;0;1;0;0;1;0;12;3
8;40;0;1;0;0;0;0;12;4
8;30;0;1;0;0;1;1;12;3
20;40;0;1;0;0;1;0;15;3
12;40;0;1;0;0;1;1;12;3
8;30;0;1;0;0;1;0;15;3
4;20;0;1;0;0;1;0;12;4
4;10;0;0;0;0;0;0;12;3
8;30;0;1;0;0;1;1;15;4
12;10;0;1;0;0;0;0;12;4
4;10;0;1;0;0;1;0;12;3
4;20;0;1;0;0;1;0;12;3
4;0;0;1;0;0;0;0;9;2
4;10;0;1;0;0;0;0;15;4
12;20;0;1;0;0;1;0;12;4
20;40;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;0;12;4
4;10;0;1;0;0;1;1;12;5
4;10;0;1;0;1;0;1;15;4
4;10;0;1;0;1;0;0;15;3
4;30;0;1;0;0;1;0;12;4
8;10;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;1;12;3
4;30;0;0;0;1;0;1;9;3
8;50;0;1;0;0;1;0;9;3
12;40;0;1;0;0;1;0;15;4
12;30;0;1;0;0;1;1;15;3
4;20;0;1;0;1;1;0;12;4
0;20;0;1;0;1;0;1;12;1
8;30;0;1;0;0;0;1;12;3
12;20;0;1;0;0;1;0;6;3
0;20;0;1;0;0;1;1;9;3
4;40;0;1;0;1;1;0;12;3
12;10;0;1;0;0;1;0;15;4
8;20;0;1;0;0;1;0;12;3
12;20;0;1;0;1;1;1;15;3
0;20;0;1;0;1;1;1;12;2
20;20;0;1;0;0;1;0;12;4
8;40;0;1;0;0;1;0;12;4
24;30;0;1;0;0;1;0;15;3
4;20;0;1;0;0;1;0;12;3
12;10;0;1;0;0;1;0;12;3
12;20;0;1;0;0;1;0;12;3
4;20;0;1;0;0;1;0;12;4
8;40;0;1;0;0;1;0;12;3
4;20;0;1;0;0;1;0;12;4
8;20;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;0;15;4
4;30;0;1;0;0;1;1;12;4
8;30;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;1;12;4
8;10;0;1;0;0;1;0;12;4
8;20;0;1;0;0;0;0;15;3
0;10;0;1;0;1;1;0;12;3
4;30;0;1;0;0;1;0;9;4
8;30;0;1;0;0;1;0;12;3
8;30;0;1;0;0;0;0;12;2
8;20;1;1;0;0;1;0;12;4
8;10;1;1;0;0;1;0;12;3
0;40;0;1;0;1;1;0;12;3
4;20;0;1;0;1;0;0;15;4
16;20;0;1;0;0;1;1;15;3
4;10;0;1;0;0;1;0;9;2
4;10;0;1;0;0;1;1;15;2
12;10;0;1;0;0;0;0;12;5
8;40;0;1;0;0;1;0;15;2
4;10;0;1;0;0;0;0;12;4
8;30;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;1;18;4
4;20;0;1;0;1;0;0;12;3
8;20;0;1;0;0;1;0;12;3
8;20;0;1;0;0;1;0;12;4
8;20;0;1;0;1;1;1;15;2
4;0;0;1;0;0;0;0;9;3
4;20;0;1;0;0;1;0;12;4
4;50;0;1;0;0;1;0;6;2
4;30;0;1;0;0;1;0;12;3
16;20;0;1;0;0;1;0;12;4
4;10;0;1;0;0;0;1;12;3
16;20;1;1;0;0;1;0;9;3
20;30;0;1;0;0;1;0;12;3
12;30;1;0;0;0;1;0;9;3
24;40;0;1;0;0;1;0;12;3
8;10;0;1;0;0;1;0;12;3
12;40;0;1;0;0;1;0;18;4
0;20;0;1;0;0;1;0;9;3
4;30;0;0;1;0;1;1;18;4
8;20;0;1;0;0;1;0;15;3
12;20;0;1;0;0;1;0;15;4
16;40;0;1;0;0;1;0;18;4
0;30;0;1;1;0;1;0;9;3
4;40;0;1;0;0;1;0;12;4
8;20;0;1;0;1;0;0;18;3
4;10;0;1;0;0;0;0;15;2
4;10;0;1;0;0;1;0;12;3
20;30;0;1;0;0;1;0;9;4
8;10;0;1;0;0;0;1;18;4
28;20;0;1;0;0;1;1;18;3
4;30;0;1;0;0;1;1;12;3
8;10;0;1;0;0;0;0;12;3
8;40;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;15;4
4;10;0;1;0;0;1;0;12;4
8;40;0;1;0;0;1;0;12;4
16;20;0;1;0;0;1;0;15;3
12;20;0;1;0;0;0;0;15;3
4;0;0;1;0;0;0;0;12;2
4;40;0;1;0;0;1;0;12;4
4;10;0;1;0;0;1;0;15;4
16;30;0;1;0;0;1;0;12;3
4;10;0;1;0;1;1;1;12;3
8;30;1;0;0;0;0;0;12;3
8;10;0;1;0;0;0;0;15;3
4;30;0;1;0;0;0;0;9;3
4;10;0;1;0;0;1;0;12;4
12;40;0;1;0;0;1;0;12;3
40;30;0;1;0;0;1;0;12;3
0;30;0;0;0;1;0;0;12;3
12;20;1;1;0;0;1;0;15;3
12;10;0;1;0;0;1;0;15;4
4;20;0;1;0;1;0;0;12;4
16;30;0;1;0;0;1;0;18;3
12;20;0;1;0;0;1;0;18;2
4;40;1;1;0;1;0;0;9;3
8;10;0;1;0;0;0;0;12;3
4;20;0;1;0;0;1;0;12;4
8;10;0;1;0;0;1;0;12;3
8;40;0;1;0;0;1;0;9;3
8;10;0;1;0;0;1;0;9;3
4;30;0;1;0;1;0;0;12;3
4;10;0;1;0;0;1;0;12;4
4;20;0;1;0;0;1;0;12;4
4;0;0;1;0;1;0;0;15;4
4;30;0;1;0;1;1;0;9;3
4;0;0;1;0;1;0;0;12;3
4;10;0;1;0;1;1;0;12;3
4;0;0;1;0;1;1;0;12;2
4;10;0;1;0;1;1;0;12;3
4;10;1;1;0;0;0;0;12;2
8;10;0;1;0;0;1;0;15;3
4;0;0;1;0;0;0;0;12;4
4;10;0;1;0;1;1;0;12;4
8;40;0;1;0;0;1;0;12;3
12;40;0;1;0;0;1;0;12;3
4;40;0;1;0;0;1;0;12;3
8;30;0;1;0;0;1;0;12;4
8;40;0;0;0;0;1;0;12;3
8;40;0;1;0;0;1;0;12;3
8;10;0;1;0;0;1;0;15;3
8;20;0;1;0;0;1;0;12;4
4;30;0;1;0;0;1;0;12;2
4;20;0;1;0;0;0;0;12;2
4;10;0;1;0;1;0;0;12;3
4;20;0;1;0;0;1;0;12;3
4;0;0;1;0;1;1;0;12;3
0;0;0;0;0;1;0;0;12;4
4;10;0;1;0;0;1;0;9;3
4;0;0;0;0;1;0;0;12;3
4;30;0;1;0;0;1;0;12;4
4;10;0;1;0;0;1;0;12;4
12;30;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;15;3
4;10;0;1;0;1;1;0;12;2
0;0;0;1;0;1;0;0;12;4
4;30;0;1;0;1;1;0;9;3
4;20;0;1;0;1;1;0;12;3
4;10;0;1;0;1;0;1;12;4
8;40;0;1;0;1;1;0;12;3
4;10;0;1;0;1;1;0;12;4
4;0;0;1;0;1;0;0;12;4
0;0;0;1;0;1;1;1;12;3
4;30;0;1;0;1;0;0;12;4
0;10;0;1;0;1;1;1;12;3
4;10;0;1;0;1;0;0;12;4
4;10;0;0;0;0;0;0;12;3
4;10;0;1;0;1;0;0;15;4
4;10;0;1;0;1;0;0;12;4
4;10;0;1;0;1;1;1;12;3
4;10;0;1;0;0;1;0;15;3
4;0;0;1;0;1;0;0;12;4
0;10;0;1;0;1;1;0;12;4
4;30;0;1;0;1;0;0;12;3
4;10;0;1;0;1;1;1;12;4
4;30;0;1;0;1;1;0;12;3
8;0;1;1;0;0;0;1;12;3
4;10;0;1;0;1;0;0;12;3
0;10;0;1;0;1;1;0;15;3
4;0;0;1;0;1;1;0;12;4
4;0;0;1;0;1;1;0;12;4
4;0;0;1;0;1;0;0;9;4
0;0;0;1;0;1;0;0;12;4
4;10;0;1;0;1;1;0;12;4
4;10;0;1;0;1;0;1;12;3
4;0;0;1;0;1;0;0;12;5
4;10;1;1;0;1;0;0;9;4
4;10;0;1;0;0;0;0;12;4
4;10;0;1;0;1;0;0;12;3
4;0;0;1;0;0;0;1;12;4
8;10;1;1;1;1;0;0;12;3
4;0;0;1;0;1;0;1;12;4
4;0;0;1;1;1;0;0;15;4
0;30;0;1;0;1;0;0;12;2
4;30;0;0;0;1;0;0;12;4
0;10;0;1;0;1;1;0;12;4
8;10;0;1;0;0;0;1;15;4
8;10;0;1;1;1;0;0;12;3
12;20;0;1;0;0;1;0;15;3
4;0;0;1;0;1;0;0;12;5
8;20;0;1;1;1;1;0;12;3
4;10;0;1;0;0;1;0;9;3
8;30;0;1;0;0;1;0;12;3
4;20;0;1;0;0;0;0;12;3
8;30;1;1;0;0;1;0;9;3
4;10;0;1;0;1;0;0;18;5
4;0;0;1;1;1;0;1;12;3
12;20;0;1;0;0;1;0;12;3
8;10;0;0;1;1;1;0;12;3
4;0;0;1;1;1;0;0;12;4
4;20;0;1;0;1;0;0;15;4
0;10;1;1;0;1;1;1;12;2
0;10;0;1;0;1;1;1;12;4
4;20;0;1;0;1;1;1;12;3
4;10;1;1;0;1;1;1;18;3
8;10;1;1;0;1;0;0;12;4
8;30;1;1;0;0;1;0;12;4
8;20;1;1;0;1;0;0;12;4
8;30;1;1;0;0;1;0;12;3
8;40;0;0;1;0;0;0;12;4
4;0;0;1;0;0;0;0;9;3
4;10;0;1;0;1;0;1;12;4
4;0;0;1;0;1;0;0;12;3
0;0;0;1;0;1;0;0;15;3
0;10;0;1;0;1;1;0;12;3
4;20;0;1;0;1;1;0;12;3
4;10;0;1;0;1;0;0;12;4
4;0;0;1;0;0;1;0;12;5
8;10;0;1;0;1;1;0;12;4
4;10;0;1;1;1;0;0;12;3
4;50;0;0;0;0;1;0;9;3
8;30;1;0;0;0;1;0;12;4
4;40;1;0;1;1;0;0;12;3
8;40;1;1;1;0;0;0;9;3
4;10;0;1;0;1;1;0;12;3
4;10;0;1;0;1;0;1;12;4
4;30;0;1;0;1;1;1;12;4
4;20;0;1;1;1;0;0;12;2
4;0;0;1;0;1;0;0;15;4
12;20;0;1;0;1;0;1;12;3
8;20;0;1;0;1;1;0;12;3
8;10;0;1;1;1;0;1;12;3
4;10;0;1;0;1;0;0;12;4
4;0;0;1;0;1;1;0;12;4
4;10;0;1;0;1;0;0;12;3
4;10;0;1;0;1;1;0;12;3
4;10;0;1;0;1;0;1;12;4
4;10;0;1;0;1;0;1;12;4
4;10;0;1;0;1;0;0;12;4
0;0;0;1;0;1;1;1;15;2
4;0;0;1;0;1;0;0;12;3
4;40;0;1;0;1;1;1;12;4
4;10;0;1;0;1;1;1;12;3
4;20;0;1;0;1;1;0;12;2
4;10;0;1;0;1;1;1;18;4
4;10;0;1;1;1;0;0;15;5
4;0;0;1;0;1;0;0;12;3
4;20;0;1;0;1;0;0;12;4
4;20;0;1;0;1;0;1;12;3
8;30;0;1;0;1;0;0;12;3
4;20;0;1;0;1;1;0;12;2
4;10;0;1;0;1;0;0;12;3
4;30;0;1;0;1;0;1;12;3
8;10;1;1;0;1;0;0;12;3
4;0;0;1;0;1;0;1;12;4
4;20;0;1;0;1;0;1;12;3
4;20;0;1;0;1;1;1;12;3
4;0;0;1;0;1;0;1;12;3
4;20;0;1;0;1;0;1;18;4
4;20;0;0;0;1;0;0;12;4
4;0;0;1;0;1;1;0;12;3
8;10;0;1;0;1;1;0;12;4
4;10;1;1;0;1;1;1;12;3
4;10;0;1;0;1;0;0;12;4
8;30;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;9;3
8;30;0;1;0;0;1;0;12;4
8;20;0;1;0;1;1;0;9;3
4;30;0;1;0;0;1;0;12;2
4;20;1;1;0;0;1;0;9;3
8;30;1;1;0;1;0;0;12;4
4;0;0;1;1;1;0;0;12;3
4;0;0;1;0;0;0;0;15;4
0;0;0;0;0;1;0;0;12;3
4;10;0;1;0;0;0;0;12;3
8;10;1;1;0;0;0;0;15;3
4;0;1;1;1;0;0;0;12;3
4;10;0;1;0;0;1;1;12;4
8;50;0;1;0;0;1;0;12;3
8;0;0;1;0;1;0;0;12;3
0;10;0;1;0;1;1;1;9;3
0;10;0;1;1;1;1;1;12;3
4;0;0;1;0;1;1;1;12;3
4;10;0;1;1;1;0;1;12;4
4;10;0;1;0;1;1;1;12;4
76;10;1;1;1;1;1;1;12;4
4;30;1;1;0;1;1;0;12;4
4;30;1;1;0;0;1;0;9;3
4;10;1;1;0;1;0;0;12;3
4;10;1;1;0;1;0;0;12;3
8;10;0;1;0;1;0;0;12;4
4;10;1;1;0;1;0;0;12;3
4;20;1;1;0;1;0;0;12;3
4;40;0;1;0;0;1;0;12;3
8;30;0;1;0;0;0;0;15;4
8;20;0;1;0;0;0;0;12;3
4;0;0;1;0;1;0;0;12;5
4;30;1;1;0;1;1;0;12;3
4;10;0;1;0;1;0;0;12;3
4;0;0;1;0;1;0;0;12;4
4;10;0;1;0;1;1;1;15;4
4;20;0;1;0;1;1;0;12;3
4;20;0;1;0;1;1;0;12;3
4;0;0;1;0;1;0;1;12;2
4;10;0;1;0;1;0;0;12;4
12;10;0;1;0;0;0;0;12;4
4;0;0;1;1;1;0;1;12;3
4;0;0;1;0;1;1;0;12;3
4;10;0;1;0;1;0;0;9;3
8;20;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;12;3
0;10;0;1;0;1;1;0;12;2
8;20;1;1;0;0;1;0;12;3
4;20;0;1;0;1;1;0;12;2
4;40;1;1;0;1;1;0;9;3
8;10;0;1;0;0;0;0;12;3
4;20;0;1;0;1;1;0;12;4
4;10;1;1;0;1;0;0;12;4
4;10;0;1;0;1;1;0;12;4
8;10;0;1;1;1;0;1;12;4
4;10;0;1;0;0;1;0;12;3
4;20;0;1;0;0;1;0;12;2
4;30;0;1;0;1;0;1;15;5
4;30;0;1;0;1;1;0;12;3
4;10;0;1;0;1;1;0;12;3
4;30;0;1;0;1;0;1;12;3
8;20;1;1;0;0;1;0;12;3
8;30;1;0;0;0;1;1;12;2
8;30;1;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;9;3
4;20;0;1;0;0;1;0;12;4
8;20;0;1;0;0;1;0;12;3
12;30;1;1;0;0;1;0;12;3
4;30;0;1;0;0;1;0;12;2
4;10;0;1;0;0;0;0;12;2
8;20;0;1;0;0;1;0;9;3
8;20;0;1;0;0;1;0;12;5
8;20;1;1;0;0;1;0;12;2
4;20;0;1;0;0;1;0;12;3
8;40;0;1;0;0;1;0;9;3
8;10;1;1;0;0;0;0;12;4
4;0;0;1;1;0;0;0;9;3
12;20;1;1;0;0;1;0;12;5
8;20;1;1;0;0;1;0;9;3
4;40;0;1;0;0;1;0;9;3
12;20;0;1;0;0;0;0;12;2
4;10;0;1;0;0;1;0;12;4
8;10;1;1;0;0;1;0;12;3
4;0;0;1;0;0;0;0;12;4
4;10;0;1;0;0;1;0;9;3
4;10;0;1;0;0;1;0;12;2
4;10;0;1;0;0;1;0;12;3
4;20;1;1;0;0;1;0;12;3
4;10;0;1;0;1;1;0;15;2
16;40;0;1;0;0;1;0;12;3
8;10;0;1;0;0;0;0;12;3
12;10;0;1;0;0;1;0;12;3
4;10;0;1;0;0;1;0;12;4
4;20;0;1;0;0;1;1;12;4
4;10;0;1;0;0;1;1;12;3
12;20;1;1;0;0;1;0;12;4
12;40;1;1;0;0;0;0;12;3
8;10;0;1;0;0;1;0;12;3
8;10;0;1;0;0;1;0;9;4
8;40;1;1;0;0;1;0;12;3
8;30;1;1;0;0;1;0;9;3
4;30;1;1;0;0;1;0;9;3
8;10;1;1;0;0;1;0;12;3
4;10;1;1;0;0;1;0;9;2
8;10;1;1;0;0;1;0;12;3
4;20;0;1;0;0;1;0;9;3
4;10;1;1;0;0;1;0;15;3
4;30;0;1;0;0;1;0;12;2
4;10;0;1;0;1;0;0;15;3
8;40;1;1;0;0;1;0;12;2
4;40;1;1;0;0;1;0;12;3
12;20;1;0;0;0;1;0;9;3
8;10;0;1;0;0;0;0;12;4
8;10;1;1;0;0;0;0;15;3
8;30;0;1;0;0;1;0;12;3
